value,is_slotted,id,sku,slug,color,category,image_url,product_type,release_date,release_date_year,variation_id,box_condition,used_image_url,cheapest_product,product_condition,count_for_product_condition,goat_url
Kobe 10 'Easter',False,14443,705317 808,nike-kobe-10-easter-705317-808,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/062/363/364/original/705317_808.png.png,sneakers,20150402,2015,84753116-d213-4e90-a8ba-5d1b1afdfeda,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/nike-kobe-10-easter-705317-808
Kobe A.D. Mid 'University Red',False,510986,942521 102,kobe-a-d-mid-tb-university-red-942521-102,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/020/935/695/original/942521_102.png.png,sneakers,,,16dd397a-83f8-48c3-a616-7369e7f7c689,no_original_box,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-mid-tb-university-red-942521-102
Zoom Kobe 6 'Helicopter',False,24727,429659 005,zoom-kobe-6-429659-005,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/980/original/429659_005.png.png,sneakers,20110305,2011,584b7773-0d31-4dd4-a651-50c32c09e767,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-429659-005
Kobe Two,False,93499,677387,kobe-two-677387,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/002/027/161/original/677387.png,sneakers,,,341d90ac-5c77-4a50-bd95-a9001a8361bc,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-two-677387
Kobe 9 Elite Low 'Beethoven',False,13010,639045 101,kobe-9-elite-low-beethoven-639045-101,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/710/846/original/13010_00.png.png,sneakers,20140816,2014,28c92360-0187-429d-a059-2ab3aa7163bd,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-9-elite-low-beethoven-639045-101
Zoom Kobe 6 'Blackout',False,25079,429659 013,zoom-kobe-6-429659-013,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/047/665/735/original/25079_00.png.png,sneakers,20110720,2011,08d9664c-b415-4ffb-a916-f465787c2bd9,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-429659-013
Kobe 10 GS 'Indepedence Day',False,123762,726067 604,kobe-10-indepedence-day-726067-604,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/002/945/836/original/726067_604.png.png,sneakers,,,10a3fef4-c37c-4fe7-afcf-4f0c4d4cd4b4,no_original_box,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-10-indepedence-day-726067-604
Kobe A.D. 2018 'Chaos',False,485867,AV3555 003,kobe-a-d-2018-black-volt-av3555-003,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/017/697/671/original/AV3555_003.png.png,sneakers,20190113,2019,364eadca-bf42-4cab-9033-8dde2678d5cf,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-2018-black-volt-av3555-003
Kobe A.D. 'Big Stage',False,147588,852425 107,kobe-a-d-big-stage-852425-107,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/063/600/974/original/147588_00.png.png,sneakers,20170603,2017,a3b4cf0c-3dd7-4281-981c-0b5dd3b26c08,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-big-stage-852425-107
Zoom Kobe 6 'Urban Camo',False,25068,429659 901,zoom-kobe-6-429659-901,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/999/original/429659_901.png.png,sneakers,20110726,2011,8efb5f18-3f0e-4b6c-a509-5ff25b5de440,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-429659-901
